检验日期	钢线线径	槽轮槽距	班次	单晶编号	验证类型	异常类型	线径	切割时间	切割刀号	切割机台	配方编码	前后排别	排别	成品电导率	成品PH值	成品浓度	成品浊度	成品温度	成品表面张力	成品COD	柠檬酸	置换量	离子液添加量	原液添加比例	清液池电导率	清液池PH	清液池浓度	清液池温度	清液池COD	线痕	TTV
2024-08-14	32	181.5	夜班	CLPC295240716602D73Y02	0.6-1.6	#N/A	0.032	2024/8/15 0:04	N1B3112408141232	XQ-B3-11	G12-XXSD-100-TSI	B3后排	B排	7.59	6.22	1.26%	23.1	25.9	27.9	24800	0	5.00%	6.00%	0.74 	7.32	5.85	0.0123 	24	24375	2	25
2024-08-13	32	181.5	夜班	CLPC295240716703D32Y04	0.6-1.6	#N/A	0.032	2024/8/14 1:10	N1B2032408131172	XQ-B2-03	G12-XXSD-110A	B2前排	B排	8.04	6.17	1.27%	42.3	24.9	27.8	24455	0	5.00%	7.00%	0.74 	7.8	5.84	0.0123 	24.2	24025	7	12
2024-08-14	32	181.5	白班	CLPC295240716703D32Y05	0.6-1.6	#N/A	0.032	2024/8/14 3:45	N1B1072408131032	XQ-B1-07	G12-XXSD-110A	B1前排	B排	7.94	6.1	1.27%	39.8	25	28	24512.5	0	5.00%	7.00%	0.73 	7.84	5.83	0.0124 	24.3	24000	5	5
2024-08-14	32	181.5	夜班	CLPC295240718402D82V04V	0.6-1.6	断缝	0.032	2024/8/14 20:24	N1B1082408141061	XQ-B1-08	G12-XXSD-110A	B1前排	B排	6.74	6.28	1.26%	33.8	26.1	27.8	24800	0	5.00%	6.00%	0.73 	7.23	5.92	0.0123 	24.2	24375	2	4
2024-08-12	32	181.5	夜班	CLPC295240721402D43Y02	0.6-1.6	#N/A	0.032	2024/8/12 23:41	N1B1082408120892	XQ-B1-08	G12-XXSD-110A	B1前排	B排	8	6.16	1.28%	54.9	25	28.2	24770	0	5.45%	7.00%	0.82 	7.79	5.8	0.0126 	24.6	24255	0	0
2024-08-12	32	181.5	夜班	CLPC295240721902D52N02	0.6-1.6	#N/A	0.032	2024/8/12 21:16	N1B1082408120882	XQ-B1-08	G12-XXSD-110A	B1前排	B排	8.17	6.21	1.29%	53.4	25.5	28	24770	0	6.00%	7.00%	0.85 	8.05	5.88	0.0126 	24.5	24255	1	1
2024-08-12	32	181.5	夜班	CLPC295240722402D82V03V	0.6-1.6	断缝	0.032	2024/8/12 20:59	N1B1032408120961	XQ-B1-03	G12-XXSD-110A	B1前排	B排	8.17	6.21	1.29%	53.4	25.5	28	24770	0	6.00%	7.00%	0.85 	8.05	5.88	0.0126 	24.5	24255	5	2
2024-08-13	32	181.5	夜班	CLPC295240722702D62N02	0.6-1.6	#N/A	0.032	2024/8/13 20:50	N1B1082408130981	XQ-B1-08	G12-XXSD-110A	B1前排	B排	8.94	6.1	1.26%	41.5	25.3	28.1	24455	0	5.45%	7.00%	0.82 	7.65	5.85	0.0124 	24.6	24025	0	3
2024-08-13	32	181.5	白班	CLPC295240725002D42N02	0.6-1.6	#N/A	0.032	2024/8/13 2:58	N1B2042408121102	XQ-B2-04	G12-XXSD-110A	B2前排	B排	7.77	6.13	1.28%	43.6	24.9	28	24780	0	5.45%	7.00%	0.82 	8.04	5.82	0.0126 	24.1	24285	0	6
2024-08-13	32	181.5	白班	CLPC295240726002D32Y03	0.6-1.6	跳线	0.032	2024/8/13 2:23	N1B1032408120982	XQ-B1-03	G12-XXSD-110A	B1前排	B排	7.96	6.15	1.27%	46.4	25.6	28	24780	0	5.45%	7.00%	0.82 	8.04	5.82	0.0126 	24.1	24285	4	6
